"pli-tv-bi-vb-pj1","pli-tv-bi-vb-pj1_en","pli-tv-bu-vb-pj1:0.4","1. The training rule on sexual intercourse"
"pli-tv-bi-vb-pj2","pli-tv-bi-vb-pj2_en","pli-tv-bu-vb-pj2:0.4","2. The training rule on stealing"
"pli-tv-bi-vb-pj3","pli-tv-bi-vb-pj3_en","pli-tv-bu-vb-pj3:0.4","3. The training rule on killing a human being"
"pli-tv-bi-vb-pj4","pli-tv-bi-vb-pj4_en","pli-tv-bu-vb-pj4:0.4","4. The training rule on falsely claiming a superhuman quality"
"pli-tv-bi-vb-ss7","pli-tv-bi-vb-ss7_en","pli-tv-bu-vb-ss5:0.4","7. Matchmaking"
"pli-tv-bi-vb-ss8","pli-tv-bi-vb-ss8_en","pli-tv-bu-vb-ss8:0.4","8. Making a groundless accusation out of anger"
"pli-tv-bi-vb-ss9","pli-tv-bi-vb-ss9_en","pli-tv-bu-vb-ss9:0.4","9. Making a groundless accusation out of anger, using a pretext"
"pli-tv-bi-vb-ss14","pli-tv-bi-vb-ss14_en","pli-tv-bu-vb-ss10:0.4","14. Causing a schism in the Sangha"
"pli-tv-bi-vb-ss15","pli-tv-bi-vb-ss15_en","pli-tv-bu-vb-ss11:0.4","15. Siding with a schismatic"
"pli-tv-bi-vb-ss16","pli-tv-bi-vb-ss16_en","pli-tv-bu-vb-ss12:0.4","16. Being difficult to correct"
"pli-tv-bi-vb-ss17","pli-tv-bi-vb-ss17_en","pli-tv-bu-vb-ss13:0.4","17. Being a corrupter of families"
"pli-tv-bi-vb-np13","pli-tv-bi-vb-np13_en","pli-tv-bu-vb-np1:0.5","13. The training rule on keeping extra robe-cloth beyond ten days"
"pli-tv-bi-vb-np14","pli-tv-bi-vb-np14_en","pli-tv-bu-vb-np2:0.5","14. Staying apart from one’s robes"
"pli-tv-bi-vb-np15","pli-tv-bi-vb-np15_en","pli-tv-bu-vb-np3:0.5","15. Keeping extra robe-cloth beyond a month"
"pli-tv-bi-vb-np16","pli-tv-bi-vb-np16_en","pli-tv-bu-vb-np6:0.5","16. Asking an unrelated person for a robe"
"pli-tv-bi-vb-np17","pli-tv-bi-vb-np17_en","pli-tv-bu-vb-np7:0.5","17. Accepting too many robes"
"pli-tv-bi-vb-np18","pli-tv-bi-vb-np18_en","pli-tv-bu-vb-np8:0.5","18. Requesting a fine robe from a fund"
"pli-tv-bi-vb-np19","pli-tv-bi-vb-np19_en","pli-tv-bu-vb-np9:0.5","19. Requesting a fine robe from a combined fund"
"pli-tv-bi-vb-np20","pli-tv-bi-vb-np20_en","pli-tv-bu-vb-np10:0.5","20. Excessive prompting to get a robe"
"pli-tv-bi-vb-np21","pli-tv-bi-vb-np21_en","pli-tv-bu-vb-np18:0.5","21. Becoming the owner of money"
"pli-tv-bi-vb-np22","pli-tv-bi-vb-np22_en","pli-tv-bu-vb-np19:0.5","22. Trading with money"
"pli-tv-bi-vb-np23","pli-tv-bi-vb-np23_en","pli-tv-bu-vb-np20:0.5","23. Bartering"
"pli-tv-bi-vb-np24","pli-tv-bi-vb-np24_en","pli-tv-bu-vb-np22:0.5","24. Exchanging an almsbowl with fewer than five mends"
"pli-tv-bi-vb-np25","pli-tv-bi-vb-np25_en","pli-tv-bu-vb-np23:0.5","25. Storing the five tonics too long"
"pli-tv-bi-vb-np26","pli-tv-bi-vb-np26_en","pli-tv-bu-vb-np25:0.5","26. Taking back robe-cloth in anger"
"pli-tv-bi-vb-np27","pli-tv-bi-vb-np27_en","pli-tv-bu-vb-np26:0.5","27. Asking for thread"
"pli-tv-bi-vb-np28","pli-tv-bi-vb-np28_en","pli-tv-bu-vb-np27:0.5","28. Bribing weavers"
"pli-tv-bi-vb-np29","pli-tv-bi-vb-np29_en","pli-tv-bu-vb-np28:0.5","29. Storing haste-cloth too long"
"pli-tv-bi-vb-np30","pli-tv-bi-vb-np30_en","pli-tv-bu-vb-np30:0.5","30. Diverting an offering intended for the Sangha"
"pli-tv-bi-vb-pc91","pli-tv-bi-vb-pc91_en","pli-tv-bi-vb-pc91:0.5","91. Getting a massage from a trainee nun"
"pli-tv-bi-vb-pc92","pli-tv-bi-vb-pc92_en","pli-tv-bi-vb-pc91:0.5","92. Getting a massage  from a novice nun"
"pli-tv-bi-vb-pc93","pli-tv-bi-vb-pc93_en","pli-tv-bi-vb-pc91:0.5","93. Getting a massage from a female householder"
"pli-tv-bi-vb-pc97","pli-tv-bi-vb-pc97_en","pli-tv-bu-vb-pc1:0.5","97. Lying"
"pli-tv-bi-vb-pc98","pli-tv-bi-vb-pc98_en","pli-tv-bu-vb-pc2:0.5","98. Abusive speech"
"pli-tv-bi-vb-pc99","pli-tv-bi-vb-pc99_en","pli-tv-bu-vb-pc3:0.5","99. Malicious talebearing"
"pli-tv-bi-vb-pc100","pli-tv-bi-vb-pc100_en","pli-tv-bu-vb-pc4:0.5","100. Instructing a lay person to memorize the Teaching"
"pli-tv-bi-vb-pc101","pli-tv-bi-vb-pc101_en","pli-tv-bu-vb-pc5:0.5","101. Lying down with one not fully ordained"
"pli-tv-bi-vb-pc102","pli-tv-bi-vb-pc102_en","pli-tv-bu-vb-pc6:0.5","102. Lying down with a man"
"pli-tv-bi-vb-pc103","pli-tv-bi-vb-pc103_en","pli-tv-bu-vb-pc7:0.5","103. Teaching a man alone"
"pli-tv-bi-vb-pc104","pli-tv-bi-vb-pc104_en","pli-tv-bu-vb-pc8:0.5","104. Truthfully announcing a superhuman quality"
"pli-tv-bi-vb-pc105","pli-tv-bi-vb-pc105_en","pli-tv-bu-vb-pc9:0.5","105. Announcing a nun’s grave offense"
"pli-tv-bi-vb-pc106","pli-tv-bi-vb-pc106_en","pli-tv-bu-vb-pc10:0.5","106. Digging the earth"
"pli-tv-bi-vb-pc107","pli-tv-bi-vb-pc107_en","pli-tv-bu-vb-pc11:0.5","107. Destroying plants"
"pli-tv-bi-vb-pc108","pli-tv-bi-vb-pc108_en","pli-tv-bu-vb-pc12:0.5","108. Speaking evasively"
"pli-tv-bi-vb-pc109","pli-tv-bi-vb-pc109_en","pli-tv-bu-vb-pc13:0.5","109. Complaining"
